seed,policy,ep_idx,friction,inertia,noise,reward,violation
1,EpsilonGreedy,9,1.0,2.0,0.06892960668515388,-0.3796406850251148,1
1,EpsilonGreedy,10,1.0,2.0,0.06383680041223927,-0.3779012651515073,1
1,EpsilonGreedy,11,0.7,1.0,0.05162337064761829,-0.4005775959386611,1
1,EpsilonGreedy,12,0.7,1.0,0.05037553973248208,-0.15933486879275602,0
1,EpsilonGreedy,13,0.4,0.8,0.07839658189314819,-0.09583142777388103,0
1,EpsilonGreedy,14,1.0,1.0,0.0866270999186721,-0.21786931156425582,0
1,EpsilonGreedy,15,0.4,0.8,0.08911657094491474,-0.09657370524425643,0
1,EpsilonGreedy,16,1.0,1.0,0.08124530860369882,-0.22117445501345032,0
1,EpsilonGreedy,17,0.7,0.8,0.055282932775136434,-0.12276625840628794,0
1,EpsilonGreedy,18,1.0,0.8,0.08648624695200452,-0.16894072018312994,0
1,EpsilonGreedy,19,0.7,0.8,0.08228029317449974,-0.12069034736538173,0
1,EpsilonGreedy,20,0.7,2.0,0.057686684378124554,-0.2964488033045579,1
1,EpsilonGreedy,21,0.7,0.8,0.07617765322390072,-0.12401734235439825,0
1,EpsilonGreedy,22,0.4,2.0,0.08837395623883515,-0.25043728453181857,0
1,EpsilonGreedy,23,0.7,0.8,0.06262720779776157,-0.12539684392229772,0
1,EpsilonGreedy,24,0.4,0.8,0.08169088187300527,-0.09679498363663326,0
1,EpsilonGreedy,25,0.4,0.8,0.08613618248240137,-0.09612391305736862,0
1,EpsilonGreedy,26,0.4,2.0,0.08320642255618682,-0.2572956530299377,0
1,EpsilonGreedy,27,0.4,2.0,0.05898805623891374,-0.2509786779487042,0
1,EpsilonGreedy,28,0.7,0.8,0.050519383633738785,-0.12556197594345003,0
1,EpsilonGreedy,29,1.0,0.8,0.08568160332073743,-0.17446212468600825,0
1,LinUCB,0,0.7,1.0,0.06748489843769596,-0.12283738734435204,0
1,LinUCB,1,0.7,0.8,0.07255569116337275,-0.10130049552147476,0
1,LinUCB,2,0.7,2.0,0.06311021345160206,-0.4316765480504435,1
1,LinUCB,3,0.7,1.0,0.06363013143814998,-0.12036073891477636,0
1,LinUCB,4,1.0,2.0,0.06539624549822166,-0.3552244810960607,1
1,LinUCB,5,0.7,2.0,0.06453938748557937,-0.4353652431962394,1
1,LinUCB,6,0.7,2.0,0.08475937294384765,-0.43658501991093235,1
1,LinUCB,7,0.7,1.0,0.05850854927391651,-0.12296322443599879,0
1,LinUCB,8,1.0,2.0,0.057768320172406365,-0.36565382835113763,1
1,LinUCB,9,1.0,2.0,0.06892960668515388,-0.36841802262825746,1
1,LinUCB,10,1.0,2.0,0.06383680041223927,-0.3606893792713407,1
1,LinUCB,11,0.7,1.0,0.05162337064761829,-0.12152808744935999,0
1,LinUCB,12,0.7,1.0,0.05037553973248208,-0.12364361428228168,0
1,LinUCB,13,0.4,0.8,0.07839658189314819,-0.08068003542304056,0
1,LinUCB,14,1.0,1.0,0.0866270999186721,-0.1728483521276043,0
1,LinUCB,15,0.4,0.8,0.08911657094491474,-0.08493200386658623,0
1,LinUCB,16,1.0,1.0,0.08124530860369882,-0.17029944089366553,0
1,LinUCB,17,0.7,0.8,0.055282932775136434,-0.10363630823991335,0
1,LinUCB,18,1.0,0.8,0.08648624695200452,-0.171950718207071,0
1,LinUCB,19,0.7,0.8,0.08228029317449974,-0.10320129181176196,0
1,LinUCB,20,0.7,2.0,0.057686684378124554,-0.43301511928555436,1
1,LinUCB,21,0.7,0.8,0.07617765322390072,-0.10258665939367659,0
1,LinUCB,22,0.4,2.0,0.08837395623883515,-0.17133849430337858,1
1,LinUCB,23,0.7,0.8,0.06262720779776157,-0.1014249310547499,0
1,LinUCB,24,0.4,0.8,0.08169088187300527,-0.08459980510332865,0
1,LinUCB,25,0.4,0.8,0.08613618248240137,-0.08645329544016594,0
1,LinUCB,26,0.4,2.0,0.08320642255618682,-0.17745582084276415,1
1,LinUCB,27,0.4,2.0,0.05898805623891374,-0.17028907923261236,1
1,LinUCB,28,0.7,0.8,0.050519383633738785,-0.10111042613274604,0
1,LinUCB,29,1.0,0.8,0.08568160332073743,-0.16979141087656255,0
1,NeuralBandit,0,0.7,1.0,0.06748489843769596,-0.21084957413716862,0
1,NeuralBandit,1,0.7,0.8,0.07255569116337275,-0.17454433579985532,0
1,NeuralBandit,2,0.7,2.0,0.06311021345160206,-0.2621828094141669,1
1,NeuralBandit,3,0.7,1.0,0.06363013143814998,-0.21006973421960795,0
1,NeuralBandit,4,1.0,2.0,0.06539624549822166,-0.3969685109546407,1
1,NeuralBandit,5,0.7,2.0,0.06453938748557937,-0.26997081193480704,1
1,NeuralBandit,6,0.7,2.0,0.08475937294384765,-0.25149210128856114,1
1,NeuralBandit,7,0.7,1.0,0.05850854927391651,-0.12355349440772684,0
1,NeuralBandit,8,1.0,2.0,0.057768320172406365,-0.5391798335739288,1
1,NeuralBandit,9,1.0,2.0,0.06892960668515388,-0.30711294982849124,1
1,NeuralBandit,10,1.0,2.0,0.06383680041223927,-0.72075947256891,1
1,NeuralBandit,11,0.7,1.0,0.05162337064761829,-0.1478113817130415,0
1,NeuralBandit,12,0.7,1.0,0.05037553973248208,-0.14540721374216808,0
1,NeuralBandit,13,0.4,0.8,0.07839658189314819,-0.10386038528313792,0
1,NeuralBandit,14,1.0,1.0,0.0866270999186721,-0.21486516900310287,0
1,NeuralBandit,15,0.4,0.8,0.08911657094491474,-0.0988891525569999,0
1,NeuralBandit,16,1.0,1.0,0.08124530860369882,-0.3943810914599041,1
1,NeuralBandit,17,0.7,0.8,0.055282932775136434,-0.13851494841931256,0
1,NeuralBandit,18,1.0,0.8,0.08648624695200452,-0.12689352226040584,0
1,NeuralBandit,19,0.7,0.8,0.08228029317449974,-0.14645930998371876,0
1,NeuralBandit,20,0.7,2.0,0.057686684378124554,-0.2579794642126133,1
1,NeuralBandit,21,0.7,0.8,0.07617765322390072,-0.23790944313555545,0
1,NeuralBandit,22,0.4,2.0,0.08837395623883515,-0.18436959639819742,1
1,NeuralBandit,23,0.7,0.8,0.06262720779776157,-0.2496312473694781,1
1,NeuralBandit,24,0.4,0.8,0.08169088187300527,-0.10041005650316391,0
1,NeuralBandit,25,0.4,0.8,0.08613618248240137,-0.08606190680078839,0
1,NeuralBandit,26,0.4,2.0,0.08320642255618682,-0.19032496246520364,1
1,NeuralBandit,27,0.4,2.0,0.05898805623891374,-0.24333194027929816,1
1,NeuralBandit,28,0.7,0.8,0.050519383633738785,-0.12153061316447689,0
1,NeuralBandit,29,1.0,0.8,0.08568160332073743,-0.1483353816972995,0
1,Oracle,0,0.7,1.0,0.06748489843769596,-0.12193832409753631,0
1,Oracle,1,0.7,0.8,0.07255569116337275,-0.10602178560161517,0
1,Oracle,2,0.7,2.0,0.06311021345160206,-0.23337464653920448,0
